name,main_category,sub_category,ratings,text_features
MyBlush Women Top,women's clothing,Western Wear,3.5,MyBlush Women Top women's clothing Western Wear
"Ridhi Home & Decor Brass Decorative Weighing Scale Set, 10 g (Golden and Brown)",appliances,All Appliances,3.7,"Ridhi Home & Decor Brass Decorative Weighing Scale Set, 10 g (Golden and Brown) appliances All Appliances"
Rangshaily Men's Black White Floral Print Fullsleeves Premium Cotton Regular Fit Shirt with Spread Collar,men's clothing,Shirts,,Rangshaily Men's Black White Floral Print Fullsleeves Premium Cotton Regular Fit Shirt with Spread Collar men's clothing Shirts
Adidas Men's Ellipto Run M Leather Shoe,men's shoes,Sports Shoes,3.6,Adidas Men's Ellipto Run M Leather Shoe men's shoes Sports Shoes
JJ TEES Polyester Half Sleeve Jersey with Round Collar and Digital Print All Over for Men (Color: Navy Blue and Red),men's clothing,T-shirts & Polos,3.5,JJ TEES Polyester Half Sleeve Jersey with Round Collar and Digital Print All Over for Men (Color: Navy Blue and Red) men's clothing T-shirts & Polos
"AONES Pack of 3 Magnetic Loop Watch Strap Compatible for Titan Smart 2 Watch Strap Black, Gold, Rose Gold",kids' fashion,Kids' Watches,,"AONES Pack of 3 Magnetic Loop Watch Strap Compatible for Titan Smart 2 Watch Strap Black, Gold, Rose Gold kids' fashion Kids' Watches"
Avsar 14k (585) Yellow Gold Ring for Women,accessories,Gold & Diamond Jewellery,,Avsar 14k (585) Yellow Gold Ring for Women accessories Gold & Diamond Jewellery
Jockey Modern Trunks with Double Layer Contoured Pouch US70_Black_M,men's clothing,Innerwear,5.0,Jockey Modern Trunks with Double Layer Contoured Pouch US70_Black_M men's clothing Innerwear
NILUS Cute and Shiny Stone Chain Bracelet for Women and Girls (Purple) (Purple),accessories,Fashion & Silver Jewellery,4.5,NILUS Cute and Shiny Stone Chain Bracelet for Women and Girls (Purple) (Purple) accessories Fashion & Silver Jewellery
Chappal Mens Leather Handmade Formal Shoes - Brown_{ch52},men's shoes,Formal Shoes,,Chappal Mens Leather Handmade Formal Shoes - Brown_{ch52} men's shoes Formal Shoes
"Cleanz-up Universal Multi Stain Remover for Grease, Dirt, Mold, Mildew, Food, Oil, Drawing Color | Concentrated, Eco Frien...",beauty & health,Household Supplies,3.4,"Cleanz-up Universal Multi Stain Remover for Grease, Dirt, Mold, Mildew, Food, Oil, Drawing Color | Concentrated, Eco Frien... beauty & health Household Supplies"
Paridhan Wholesele Regular Fit Scented Vest for Men's (Pack of 5),men's clothing,Innerwear,,Paridhan Wholesele Regular Fit Scented Vest for Men's (Pack of 5) men's clothing Innerwear
DOCTORSTEP Sandals for women & girls flats casual trendy party wear.,women's shoes,Fashion Sandals,,DOCTORSTEP Sandals for women & girls flats casual trendy party wear. women's shoes Fashion Sandals
PC Jeweller The Hector 22 KT Yellow Gold Ring for Her,accessories,Gold & Diamond Jewellery,,PC Jeweller The Hector 22 KT Yellow Gold Ring for Her accessories Gold & Diamond Jewellery
GABICCI Spin White Driving Leather Casual Slip-On Shoes for Men |65102|,men's shoes,Casual Shoes,5.0,GABICCI Spin White Driving Leather Casual Slip-On Shoes for Men |65102| men's shoes Casual Shoes
THE LITTLE LOOKERS Baby Button Bibs/Apron Cute Overall Print with Tich Button| Soft Cotton Fabric with PVC on Back/Quick A...,toys & baby products,Nursing & Feeding,4.0,THE LITTLE LOOKERS Baby Button Bibs/Apron Cute Overall Print with Tich Button| Soft Cotton Fabric with PVC on Back/Quick A... toys & baby products Nursing & Feeding
"Funk For Hire Women Printed Faux Leather 15.6"" Laptop Handbag/Sling Bag Navy Blue And Brown",accessories,Bags & Luggage,4.4,"Funk For Hire Women Printed Faux Leather 15.6"" Laptop Handbag/Sling Bag Navy Blue And Brown accessories Bags & Luggage"
Spykar Men's Super Skinny Fit Jeans,men's clothing,Jeans,3.0,Spykar Men's Super Skinny Fit Jeans men's clothing Jeans
Balwaan Tiller Attachment for Brush Cutter 28mm S Type Weeder/Weeding in Fruits and Vegetables//Suitable for All Type of S...,home & kitchen,Garden & Outdoors,3.3,Balwaan Tiller Attachment for Brush Cutter 28mm S Type Weeder/Weeding in Fruits and Vegetables//Suitable for All Type of S... home & kitchen Garden & Outdoors
Aqualite Men's Trending Shoes,men's shoes,Sports Shoes,,Aqualite Men's Trending Shoes men's shoes Sports Shoes
